mysql> select * from weightsensor_sensordaily where tagid="5a-c2-15-0b-00-01";
+-------+-------------------+---------------------+---------------+----------+---------+----------------------------+
| id    | tagid             | reading             | distancelader | dcstatus | battery | timestamp                  |
| 16939 | 5a-c2-15-0b-00-01 |              18.887 |          1000 |        0 |     100 | 2023-02-06 15:10:33.657484 |
| 16940 | 5a-c2-15-0b-00-01 |  19.153999999999996 |          1000 |        0 |     100 | 2023-02-06 15:11:58.239154 |
| 16941 | 5a-c2-15-0b-00-01 |  19.562000000000012 |          1000 |        0 |     100 | 2023-02-06 15:12:02.791014 |
| 16942 | 5a-c2-15-0b-00-01 |   20.11700000000002 |          1000 |        0 |     100 | 2023-02-06 15:13:07.369347 |
| 16943 | 5a-c2-15-0b-00-01 |  21.330000000000013 |          1000 |        0 |     100 | 2023-02-06 15:13:50.531061 |
| 16944 | 5a-c2-15-0b-00-01 |  21.724000000000018 |          1000 |        0 |     100 | 2023-02-06 15:14:50.821482 |
| 16945 | 5a-c2-15-0b-00-01 |  22.015000000000015 |          1000 |        0 |     100 | 2023-02-06 15:17:04.600007 |
| 16946 | 5a-c2-15-0b-00-01 |  22.906000000000006 |          1000 |        0 |     100 | 2023-02-06 15:18:26.371246 |
| 16947 | 5a-c2-15-0b-00-01 |   23.37100000000001 |          1000 |        0 |     100 | 2023-02-06 15:18:52.427125 |
| 16948 | 5a-c2-15-0b-00-01 |  23.711000000000013 |          1000 |        0 |     100 | 2023-02-06 15:19:09.586415 |
| 16949 | 5a-c2-15-0b-00-01 |  24.236999999999995 |          1000 |        0 |     100 | 2023-02-06 15:19:14.158225 |
| 16950 | 5a-c2-15-0b-00-01 |  24.729000000000013 |          1000 |        0 |     100 | 2023-02-06 15:20:19.349547 |
| 16951 | 5a-c2-15-0b-00-01 |  25.076999999999998 |          1000 |        0 |     100 | 2023-02-06 15:20:36.493036 |
| 16952 | 5a-c2-15-0b-00-01 |   25.74600000000001 |          1000 |        0 |     100 | 2023-02-06 15:21:24.283955 |
| 16953 | 5a-c2-15-0b-00-01 |  28.179000000000002 |          1000 |        1 |     100 | 2023-02-06 22:55:31.675945 |
| 16954 | 5a-c2-15-0b-00-01 |   3.401999999999987 |          1000 |        1 |     100 | 2023-02-06 22:56:14.745499 |
| 16955 | 5a-c2-15-0b-00-01 |  0.9800000000000182 |          1000 |        0 |     100 | 2023-02-06 22:56:31.924990 |
| 16956 | 5a-c2-15-0b-00-01 |   2.609000000000009 |          1000 |        0 |     100 | 2023-02-06 22:56:58.579158 |
